fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,pH,sulphates,alcohol
7.4,0.7,0,1.9,0.076,11,3.51,0.56,9.4
7.8,0.88,0,2.6,0.098,25,3.2,0.68,9.8
7.8,0.76,0.04,2.3,0.092,15,3.26,0.65,9.8
11.2,0.28,0.56,1.9,0.075,17,3.16,0.58,9.8
7.4,0.7,0,1.9,0.076,11,3.51,0.56,9.4
7.4,0.66,0,1.8,0.075,13,3.51,0.56,9.4
7.9,0.6,0.06,1.6,0.069,15,3.3,0.46,9.4
7.3,0.65,0,1.2,0.065,15,3.39,0.47,10
7.8,0.58,0.02,2,0.073,9,3.36,0.57,9.5
7.5,0.5,0.36,6.1,0.071,17,3.35,0.8,10.5
6.7,0.58,0.08,1.8,0.097,15,3.28,0.54,9.2
7.5,0.5,0.36,6.1,0.071,17,3.35,0.8,10.5
5.6,0.615,0,1.6,0.089,16,3.58,0.52,9.9
7.8,0.61,0.29,1.6,0.114,9,3.26,1.56,9.1
8.9,0.62,0.18,3.8,0.176,52,3.16,0.88,9.2
8.9,0.62,0.19,3.9,0.17,51,3.17,0.93,9.2
8.5,0.28,0.56,1.8,0.092,35,3.3,0.75,10.5
8.1,0.56,0.28,1.7,0.368,16,3.11,1.28,9.3
7.4,0.59,0.08,4.4,0.086,6,3.38,0.5,9
7.9,0.32,0.51,1.8,0.341,17,3.04,1.08,9.2
8.9,0.22,0.48,1.8,0.077,29,3.39,0.53,9.4
7.6,0.39,0.31,2.3,0.082,23,3.52,0.65,9.7
7.9,0.43,0.21,1.6,0.106,10,3.17,0.91,9.5
8.5,0.49,0.11,2.3,0.084,9,3.17,0.53,9.4
6.9,0.4,0.14,2.4,0.085,21,3.43,0.63,9.7
6.3,0.39,0.16,1.4,0.08,11,3.34,0.56,9.3
7.6,0.41,0.24,1.8,0.08,4,3.28,0.59,9.5
7.9,0.43,0.21,1.6,0.106,10,3.17,0.91,9.5
7.1,0.71,0,1.9,0.08,14,3.47,0.55,9.4
7.8,0.645,0,2,0.082,8,3.38,0.59,9.8
6.7,0.675,0.07,2.4,0.089,17,3.35,0.54,10.1
6.9,0.685,0,2.5,0.105,22,3.46,0.57,10.6
8.3,0.655,0.12,2.3,0.083,15,3.17,0.66,9.8
6.9,0.605,0.12,10.7,0.073,40,3.45,0.52,9.4
5.2,0.32,0.25,1.8,0.103,13,3.38,0.55,9.2
7.8,0.645,0,5.5,0.086,5,3.4,0.55,9.6
7.8,0.6,0.14,2.4,0.086,3,3.42,0.6,10.8
8.1,0.38,0.28,2.1,0.066,13,3.23,0.73,9.7
5.7,1.13,0.09,1.5,0.172,7,3.5,0.48,9.8
7.3,0.45,0.36,5.9,0.074,12,3.33,0.83,10.5
7.3,0.45,0.36,5.9,0.074,12,3.33,0.83,10.5
8.8,0.61,0.3,2.8,0.088,17,3.26,0.51,9.3
7.5,0.49,0.2,2.6,0.332,8,3.21,0.9,10.5
8.1,0.66,0.22,2.2,0.069,9,3.3,1.2,10.3
6.8,0.67,0.02,1.8,0.05,5,3.48,0.52,9.5
4.6,0.52,0.15,2.1,0.054,8,3.9,0.56,13.1
7.7,0.935,0.43,2.2,0.114,22,3.25,0.73,9.2
8.7,0.29,0.52,1.6,0.113,12,3.25,0.58,9.5
6.4,0.4,0.23,1.6,0.066,5,3.34,0.56,9.2
5.6,0.31,0.37,1.4,0.074,12,3.32,0.58,9.2
8.8,0.66,0.26,1.7,0.074,4,3.15,0.74,9.2
6.6,0.52,0.04,2.2,0.069,8,3.4,0.63,9.4
6.6,0.5,0.04,2.1,0.068,6,3.39,0.64,9.4
8.6,0.38,0.36,3,0.081,30,3.2,0.56,9.4
7.6,0.51,0.15,2.8,0.11,33,3.17,0.63,10.2
7.7,0.62,0.04,3.8,0.084,25,3.34,0.53,9.5
10.2,0.42,0.57,3.4,0.07,4,3.04,0.63,9.6
7.5,0.63,0.12,5.1,0.111,50,3.26,0.77,9.4
7.8,0.59,0.18,2.3,0.076,17,3.43,0.59,10
7.3,0.39,0.31,2.4,0.074,9,3.41,0.54,9.4
8.8,0.4,0.4,2.2,0.079,19,3.44,0.64,9.2
7.7,0.69,0.49,1.8,0.115,20,3.21,0.71,9.3
7.5,0.52,0.16,1.9,0.085,12,3.38,0.62,9.5
7,0.735,0.05,2,0.081,13,3.39,0.57,9.8
7.2,0.725,0.05,4.65,0.086,4,3.41,0.39,10.9
7.2,0.725,0.05,4.65,0.086,4,3.41,0.39,10.9
7.5,0.52,0.11,1.5,0.079,11,3.42,0.58,9.6
6.6,0.705,0.07,1.6,0.076,6,3.44,0.58,10.7
9.3,0.32,0.57,2,0.074,27,3.28,0.79,10.7
8,0.705,0.05,1.9,0.074,8,3.34,0.95,10.5
7.7,0.63,0.08,1.9,0.076,15,3.32,0.54,9.5
7.7,0.67,0.23,2.1,0.088,17,3.32,0.48,9.5
7.7,0.69,0.22,1.9,0.084,18,3.31,0.48,9.5
8.3,0.675,0.26,2.1,0.084,11,3.31,0.53,9.2
9.7,0.32,0.54,2.5,0.094,28,3.28,0.82,9.6
8.8,0.41,0.64,2.2,0.093,9,3.54,0.66,10.5
8.8,0.41,0.64,2.2,0.093,9,3.54,0.66,10.5
6.8,0.785,0,2.4,0.104,14,3.52,0.55,10.7
6.7,0.75,0.12,2,0.086,12,3.38,0.52,10.1
8.3,0.625,0.2,1.5,0.08,27,3.16,1.12,9.1
6.2,0.45,0.2,1.6,0.069,3,3.41,0.56,9.2
7.8,0.43,0.7,1.9,0.464,22,3.13,1.28,9.4
7.4,0.5,0.47,2,0.086,21,3.36,0.57,9.1
7.3,0.67,0.26,1.8,0.401,16,3.16,1.14,9.4
6.3,0.3,0.48,1.8,0.069,18,3.44,0.78,10.3
6.9,0.55,0.15,2.2,0.076,19,3.41,0.59,10.1
8.6,0.49,0.28,1.9,0.11,20,2.93,1.95,9.9
7.7,0.49,0.26,1.9,0.062,9,3.39,0.64,9.6
9.3,0.39,0.44,2.1,0.107,34,3.14,1.22,9.5
7,0.62,0.08,1.8,0.076,8,3.48,0.53,9
7.9,0.52,0.26,1.9,0.079,42,3.23,0.54,9.5
8.6,0.49,0.28,1.9,0.11,20,2.93,1.95,9.9
8.6,0.49,0.29,2,0.11,19,2.93,1.98,9.8
7.7,0.49,0.26,1.9,0.062,9,3.39,0.64,9.6
5,1.02,0.04,1.4,0.045,41,3.75,0.48,10.5
4.7,0.6,0.17,2.3,0.058,17,3.85,0.6,12.9
